year,make,model,cylinders,drivetrain,fuel_type,hwy_mpg,transmission,size_class,base_model
2022,Acura,ILX,4,Front-Wheel Drive,Premium,34,Automatic,Compact Cars,ILX
2022,Acura,MDX,6,Front-Wheel Drive 2WD,Premium,26,Automatic,Small SUV,MDX
2022,Acura,MDX,6,All-Wheel Drive 4WD,Premium,25,Automatic,Small SUV,MDX
2022,Acura,MDX Type-S,6,All-Wheel Drive 4WD,Premium,21,Automatic,Standard SUV,MDX
2022,Acura,RDX,4,Front-Wheel Drive 2WD,Premium,28,Automatic,Small SUV,RDX
2022,Acura,RDX,4,All-Wheel Drive 4WD,Premium,27,Automatic,Small SUV,RDX
2022,Acura,RDX A-SPEC,4,Front-Wheel Drive 2WD,Premium,27,Automatic,Small SUV,RDX
2022,Acura,RDX A-SPEC,4,All-Wheel Drive 4WD,Premium,26,Automatic,Small SUV,RDX
2022,Acura,TLX,4,All-Wheel Drive,Premium,29,Automatic,Compact Cars,TLX
2022,Acura,TLX,4,Front-Wheel Drive,Premium,31,Automatic,Compact Cars,TLX
2022,Acura,TLX A-SPEC,4,Front-Wheel Drive,Premium,30,Automatic,Compact Cars,TLX
2022,Acura,TLX A-SPEC,4,All-Wheel Drive,Premium,29,Automatic,Compact Cars,TLX
2022,Acura,TLX Type-S,6,All-Wheel Drive,Premium,25,Automatic,Compact Cars,TLX
2022,Alfa Romeo,Giulia,4,All-Wheel Drive,Premium,31,Automatic,Midsize Cars,Giulia
2022,Alfa Romeo,Giulia,4,Rear-Wheel Drive,Premium,33,Automatic,Midsize Cars,Giulia
2022,Alfa Romeo,Giulia,6,Rear-Wheel Drive,Premium,25,Automatic,Midsize Cars,Giulia
2022,Alfa Romeo,Stelvio,4,All-Wheel Drive 4WD,Premium,28,Automatic,Small SUV,Stelvio
2022,Alfa Romeo,Stelvio,4,Rear-Wheel Drive 2WD,Premium,29,Automatic,Small SUV,Stelvio
2022,Alfa Romeo,Stelvio,6,All-Wheel Drive 4WD,Premium,23,Automatic,Small SUV,Stelvio
2022,Aston Martin,DB11 V12,12,Rear-Wheel Drive,Premium,22,Automatic,Minicompact Cars,DB11
2022,Aston Martin,DB11 V8,8,Rear-Wheel Drive,Premium,24,Automatic,Minicompact Cars,DB11
2022,Aston Martin,DBS,12,Rear-Wheel Drive,Premium,22,Automatic,Minicompact Cars,DBS
2022,Aston Martin,DBX V8,8,4-Wheel Drive,Premium,20,Automatic,Standard SUV,DBX V8
2022,Aston Martin,Vantage V8,8,Rear-Wheel Drive,Premium,24,Automatic,Two Seaters,Vantage
2022,Audi,A3,4,Front-Wheel Drive,Regular,38,Automatic,Subcompact Cars,A3
2022,Audi,A3 quattro,4,All-Wheel Drive,Regular,36,Automatic,Subcompact Cars,A3
