make,vehicle_count
BMW,80
Porsche,75
Mercedes-Benz,59
Chevrolet,53
Ford,52
Toyota,51
Audi,48
Lexus,35
Jeep,32
GMC,31
Nissan,29
Cadillac,28
Kia,23
Volkswagen,23
Land Rover,23
Hyundai,22
Dodge,22
Subaru,20
Honda,19
MINI,19
Genesis,16
Infiniti,15
Acura,13
Volvo,13
Ram,13
Maserati,13
Jaguar,12
Mitsubishi,12
Lincoln,9
Lamborghini,8
Buick,8
Bentley,8
Rolls-Royce,7
Chrysler,6
Ferrari,6
Alfa Romeo,6
Aston Martin,5
Mazda,5
McLaren Automotive,4
Bugatti,3
Fiat,1
