year,make,model,cylinders,drivetrain,fuel_type,hwy_mpg,transmission,size_class,base_model
2024,Acura,Integra,4,Front-Wheel Drive,Premium,28,Manual,Large Cars,Integra
2024,Acura,Integra A-Spec,4,Front-Wheel Drive,Premium,36,Manual,Large Cars,Integra
2024,Aston Martin,Valour,12,Rear-Wheel Drive,Premium,18,Manual,Two Seaters,Valour
2024,Audi,RS 6 Avant,8,All-Wheel Drive,Premium,22,Automatic,Midsize Station Wagons,RS
2024,Audi,RS 7,8,All-Wheel Drive,Premium,22,Automatic,Midsize Cars,RS
2024,Audi,RS Q8,8,All-Wheel Drive 4WD,Premium,19,Automatic,Standard SUV,RS Q8
2024,Audi,S3,4,All-Wheel Drive,Premium,32,Automatic,Subcompact Cars,S3
2024,Audi,S4,6,All-Wheel Drive,Premium,29,Automatic,Compact Cars,S4
2024,Audi,S5 Cabriolet,6,All-Wheel Drive,Premium,27,Automatic,Subcompact Cars,S5
2024,Audi,S5 Coupe,6,All-Wheel Drive,Premium,29,Automatic,Subcompact Cars,S5
2024,Audi,S5 Sportback,6,All-Wheel Drive,Premium,29,Automatic,Midsize Cars,S5
2024,Audi,S6,6,All-Wheel Drive,Premium,26,Automatic,Midsize Cars,S6
2024,Audi,S7,6,All-Wheel Drive,Premium,26,Automatic,Midsize Cars,S7
2024,Audi,S8,8,All-Wheel Drive,Premium,24,Automatic,Large Cars,S8
2024,Audi,SQ5,6,All-Wheel Drive 4WD,Premium,24,Automatic,Small SUV,SQ5
2024,Audi,SQ5 Sportback,6,All-Wheel Drive 4WD,Premium,24,Automatic,Small SUV,SQ5
2024,Audi,SQ7,8,4-Wheel Drive,Premium,21,Automatic,Standard SUV,SQ7
2024,Audi,SQ8,8,All-Wheel Drive 4WD,Premium,21,Automatic,Standard SUV,SQ8
2024,Bentley,Bentayga,8,All-Wheel Drive 4WD,Premium,21,Automatic,Standard SUV,Bentayga
2024,Bentley,Bentayga EWB,8,All-Wheel Drive 4WD,Premium,21,Automatic,Standard SUV,Bentayga
2024,Bentley,Continental GT,8,All-Wheel Drive,Premium,22,Automatic,Subcompact Cars,Continental
2024,Bentley,Continental GT,12,All-Wheel Drive,Premium,20,Automatic,Subcompact Cars,Continental
2024,Bentley,Continental GTC,8,All-Wheel Drive,Premium,21,Automatic,Minicompact Cars,Continental
2024,Bentley,Continental GTC,12,All-Wheel Drive,Premium,19,Automatic,Minicompact Cars,Continental
2024,Bentley,Flying Spur,8,All-Wheel Drive,Premium,20,Automatic,Midsize Cars,Flying Spur
2024,Bentley,Flying Spur,12,All-Wheel Drive,Premium,19,Automatic,Midsize Cars,Flying Spur
2024,BMW,228i Gran Coupe,4,Front-Wheel Drive,Premium,34,Automatic,Compact Cars,2 Series
2024,BMW,228i xDrive Gran Coupe,4,All-Wheel Drive,Premium,33,Automatic,Compact Cars,2 Series
2024,BMW,230i Coupe,4,Rear-Wheel Drive,Premium,35,Automatic,Subcompact Cars,2 Series
2024,BMW,230i xDrive Coupe,4,All-Wheel Drive,Premium,33,Automatic,Subcompact Cars,2 Series
2024,BMW,330i Sedan,4,Rear-Wheel Drive,Premium,34,Automatic,Compact Cars,3 Series
2024,BMW,330i xDrive Sedan,4,All-Wheel Drive,Premium,33,Automatic,Compact Cars,3 Series
2024,BMW,430i Convertible,4,Rear-Wheel Drive,Premium,34,Automatic,Subcompact Cars,4 Series
2024,BMW,430i Coupe,4,Rear-Wheel Drive,Premium,34,Automatic,Subcompact Cars,4 Series
2024,BMW,430i Gran Coupe,4,Rear-Wheel Drive,Premium,34,Automatic,Compact Cars,4 Series
2024,BMW,430i xDrive Convertible,4,All-Wheel Drive,Premium,33,Automatic,Subcompact Cars,4 Series
2024,BMW,430i xDrive Coupe,4,All-Wheel Drive,Premium,33,Automatic,Subcompact Cars,4 Series
2024,BMW,430i xDrive Gran Coupe,4,All-Wheel Drive,Premium,33,Automatic,Compact Cars,4 Series
2024,BMW,530i Sedan,4,Rear-Wheel Drive,Premium,35,Automatic,Midsize Cars,5 Series
2024,BMW,530i xDrive Sedan,4,All-Wheel Drive,Premium,35,Automatic,Midsize Cars,5 Series
2024,BMW,540i xDrive Sedan,6,All-Wheel Drive,Premium,33,Automatic,Midsize Cars,5 Series
2024,BMW,740i Sedan,6,Rear-Wheel Drive,Premium,31,Automatic,Large Cars,7 Series
2024,BMW,740i xDrive Sedan,6,All-Wheel Drive,Premium,31,Automatic,Large Cars,7 Series
2024,BMW,760i xDrive Sedan,8,All-Wheel Drive,Premium,25,Automatic,Large Cars,7 Series
2024,BMW,840i Convertible,6,Rear-Wheel Drive,Premium,29,Automatic,Subcompact Cars,8 Series
2024,BMW,840i Coupe,6,Rear-Wheel Drive,Premium,29,Automatic,Subcompact Cars,8 Series
2024,BMW,840i Gran Coupe,6,Rear-Wheel Drive,Premium,29,Automatic,Midsize Cars,8 Series
2024,BMW,840i xDrive Convertible,6,All-Wheel Drive,Premium,29,Automatic,Subcompact Cars,8 Series
2024,BMW,840i xDrive Coupe,6,All-Wheel Drive,Premium,29,Automatic,Subcompact Cars,8 Series
2024,BMW,840i xDrive Gran Coupe,6,All-Wheel Drive,Premium,29,Automatic,Midsize Cars,8 Series
2024,BMW,Alpina B8 Gran Coupe,8,All-Wheel Drive,Premium,24,Automatic,Midsize Cars,8 Series
2024,BMW,Alpina XB7,8,All-Wheel Drive 4WD,Premium,20,Automatic,Standard SUV,X7
2024,BMW,M2 Coupe,6,Rear-Wheel Drive,Premium,23,Automatic,Subcompact Cars,M
