make,vehicle_count
BMW,77
Porsche,61
Toyota,53
Mercedes-Benz,50
Ford,45
Chevrolet,44
Lexus,36
Nissan,30
Cadillac,29
GMC,27
Maserati,20
Volkswagen,19
MINI,19
Jeep,19
Kia,18
Honda,18
Hyundai,17
Audi,15
Land Rover,15
Subaru,14
Jaguar,11
Infiniti,11
Ram,10
Genesis,9
Volvo,9
Mitsubishi,9
Bentley,8
Mazda,7
Rolls-Royce,7
Dodge,6
Lincoln,6
Ferrari,5
Lamborghini,5
Buick,5
Chrysler,3
Acura,2
INEOS Automotive,2
Lotus,1
Bugatti,1
Aston Martin,1
